250     0.0015598
500     0.00286702
750     0.00416758
1000     0.00549394
1250     0.00656118
1500     0.00780154
1750     0.008965
2000     0.00981029
2250     0.0106576
2500     0.0110667
2750     0.0120257
3000     0.01253
3250     0.0132726
3500     0.0136272
3750     0.0142659
4000     0.0151459
4250     0.015779
4500     0.016679
4750     0.0178519
5000     0.020122
250     0.00217458
500     0.00408039
750     0.00414787
1000     0.00539619
1250     0.00656352
1500     0.00846074
1750     0.00874471
2000     0.00971778
2250     0.0110089
2500     0.0129912
2750     0.012258
3000     0.0128612
3250     0.0134467
3500     0.0146069
3750     0.0152714
4000     0.0161028
4250     0.016885
4500     0.0179487
4750     0.0183681
5000     0.0204508
250     0.00169925
500     0.0025311
750     0.00297257
1000     0.00402293
1250     0.00505912
1500     0.00602501
1750     0.00710125
2000     0.00813081
2250     0.00920374
2500     0.0101617
2750     0.0111984
3000     0.0122337
3250     0.0132283
3500     0.0142274
3750     0.0148394
4000     0.0159283
4250     0.0172495
4500     0.0179063
4750     0.0182602
5000     0.0198593
250     0.00104862
500     0.00206862
750     0.0030495
1000     0.00438047
1250     0.00562145
1500     0.00616801
1750     0.00717654
2000     0.00825297
2250     0.00944932
2500     0.0104772
2750     0.0113856
3000     0.0125844
3250     0.0139004
3500     0.0148302
3750     0.0169565
4000     0.016928
4250     0.017699
4500     0.0186251
4750     0.0196898
5000     0.0246271
250     0.00142693
500     0.00295705
750     0.00389758
1000     0.00387203
1250     0.00485096
1500     0.00570771
1750     0.00696174
2000     0.00942588
2250     0.00894068
2500     0.0107725
2750     0.0133271
3000     0.0122112
3250     0.0145927
3500     0.0138867
3750     0.0146036
4000     0.0159904
4250     0.0170887
4500     0.017929
4750     0.0187084
5000     0.0209316
250     0.00137356
500     0.00294065
750     0.00440046
1000     0.00593208
1250     0.00508427
1500     0.00614417
1750     0.00725062
2000     0.00814892
2250     0.00930979
2500     0.0101827
2750     0.0127427
3000     0.0126962
3250     0.0133144
3500     0.0144441
3750     0.0154716
4000     0.0164909
4250     0.0173606
4500     0.0178691
4750     0.0192658
5000     0.0205412
250     0.00105492
500     0.00201804
750     0.00303849
1000     0.00532292
1250     0.00744388
1500     0.00732871
1750     0.00764461
2000     0.0118105
2250     0.0145206
2500     0.012968
2750     0.0124103
3000     0.0124119
3250     0.0140273
3500     0.0144921
3750     0.0154375
4000     0.016517
4250     0.0176818
4500     0.0186905
4750     0.0198545
5000     0.0234358
250     0.001286
500     0.002161
750     0.003105
1000     0.004012
1250     0.004957
1500     0.00614
1750     0.007183
2000     0.008786
2250     0.009376
2500     0.011062
2750     0.012436
3000     0.012691
3250     0.013696
3500     0.01497
3750     0.015715
4000     0.017276
4250     0.018042
4500     0.018722
4750     0.02875
5000     0.023859
